_ws.col.No.,_ws.col.Time,ip.src,ip.dst,tcp.seq,tcp.ack,tcp.len,tcp.port
"1","0.000000000","69.148.243.171","38.107.216.37","0","0","0","49048"
"2","0.000022000","38.107.216.37","69.148.243.171","0","1","0","44465"
"3","0.004026000","69.148.243.171","38.107.216.37","1","1","0","49048"
"4","0.004160000","38.107.216.37","69.148.243.171","1","1","5792","44465"
"5","0.004167000","38.107.216.37","69.148.243.171","5793","1","2400","44465"
"6","0.004187000","38.107.216.37","69.148.243.171","8193","1","5792","44465"
"7","0.014761000","69.148.243.171","38.107.216.37","1","1449","0","49048"
"8","0.014785000","38.107.216.37","69.148.243.171","13985","1","2896","44465"
"9","0.015309000","69.148.243.171","38.107.216.37","1","2897","0","49048"
"10","0.015486000","69.148.243.171","38.107.216.37","1","4345","0","49048"
"11","0.015498000","38.107.216.37","69.148.243.171","16881","1","5792","44465"
"12","0.015990000","69.148.243.171","38.107.216.37","1","5793","0","49048"
"13","0.016241000","69.148.243.171","38.107.216.37","1","7241","0","49048"
"14","0.016248000","38.107.216.37","69.148.243.171","22673","1","4344","44465"
"15","0.016269000","69.148.243.171","38.107.216.37","1","8193","0","49048"
"16","0.016296000","38.107.216.37","69.148.243.171","27017","1","1448","44465"
"17","0.016490000","69.148.243.171","38.107.216.37","1","9641","0","49048"
"18","0.016490000","69.148.243.171","38.107.216.37","1","11089","0","49048"
"19","0.016508000","38.107.216.37","69.148.243.171","28465","1","4344","44465"
"20","0.016514000","38.107.216.37","69.148.243.171","32809","1","4344","44465"
"21","0.017258000","69.148.243.171","38.107.216.37","1","12537","0","49048"
"22","0.017276000","69.148.243.171","38.107.216.37","1","13985","0","49048"
"23","0.017279000","38.107.216.37","69.148.243.171","37153","1","4344","44465"
"24","0.017989000","69.148.243.171","38.107.216.37","1","15433","0","49048"
"25","0.017996000","69.148.243.171","38.107.216.37","1","16881","0","49048"
"26","0.018585000","38.107.216.37","69.148.243.171","41497","1","1448","44465"
"27","0.018594000","38.107.216.37","69.148.243.171","42945","1","2896","44465"
"28","0.018749000","69.148.243.171","38.107.216.37","1","18329","0","49048"
"29","0.018756000","69.148.243.171","38.107.216.37","1","22673","0","49048"
"30","0.019256000","69.148.243.171","38.107.216.37","1","24121","0","49048"
"31","0.019256000","69.148.243.171","38.107.216.37","1","27017","0","49048"
"32","0.019316000","38.107.216.37","69.148.243.171","45841","1","1448","44465"
"33","0.019320000","38.107.216.37","69.148.243.171","47289","1","4344","44465"
"34","0.019698000","38.107.216.37","69.148.243.171","51633","1","4344","44465"
"35","0.019984000","69.148.243.171","38.107.216.37","1","28465","0","49048"
"36","0.019992000","69.148.243.171","38.107.216.37","1","29913","0","49048"
"37","0.019992000","69.148.243.171","38.107.216.37","1","32809","0","49048"
"38","0.020645000","38.107.216.37","69.148.243.171","55977","1","1448","44465"
"39","0.020737000","69.148.243.171","38.107.216.37","1","34257","0","49048"
"40","0.020737000","69.148.243.171","38.107.216.37","1","37153","0","49048"
"41","0.020747000","38.107.216.37","69.148.243.171","57425","1","5792","44465"
"42","0.021481000","69.148.243.171","38.107.216.37","1","38601","0","49048"
"43","0.021486000","69.148.243.171","38.107.216.37","1","41497","0","49048"
"44","0.022203000","38.107.216.37","69.148.243.171","63217","1","2896","44465"
"45","0.022238000","69.148.243.171","38.107.216.37","1","42945","0","49048"
"46","0.022241000","38.107.216.37","69.148.243.171","66113","1","5792","44465"
"47","0.022730000","69.148.243.171","38.107.216.37","1","44393","0","49048"
"48","0.022735000","69.148.243.171","38.107.216.37","1","45841","0","49048"
"49","0.023499000","69.148.243.171","38.107.216.37","1","47289","0","49048"
"50","0.023499000","69.148.243.171","38.107.216.37","1","48737","0","49048"
"51","0.023512000","69.148.243.171","38.107.216.37","1","51633","0","49048"
"52","0.023519000","38.107.216.37","69.148.243.171","71905","1","8688","44465"
"53","0.024281000","69.148.243.171","38.107.216.37","1","53081","0","49048"
"54","0.024478000","69.148.243.171","38.107.216.37","1","55977","0","49048"
"55","0.025298000","69.148.243.171","38.107.216.37","1","57425","0","49048"
"56","0.025484000","69.148.243.171","38.107.216.37","1","58873","0","49048"
"57","0.025489000","69.148.243.171","38.107.216.37","1","63217","0","49048"
"58","0.025499000","38.107.216.37","69.148.243.171","80593","1","10136","44465"
"59","0.026309000","69.148.243.171","38.107.216.37","1","64665","0","49048"
"60","0.026317000","38.107.216.37","69.148.243.171","90729","1","4344","44465"
